N,threads,l2_kib,ws_mib,schedule,t_v0_avg,t_v0_std,t_v1_avg,t_v1_std,t_v2_avg,t_v2_std,t_v3_avg,t_v3_std,speedup_v1,speedup_v2,speedup_v3,cs_v0,cs_v1,cs_v2,cs_v3,correct_v1,correct_v2,correct_v3
128,1,2048,0.375,static,0.001846,0.000036,0.001900,0.000098,0.001172,0.000058,0.001213,0.000146,0.9716,1.5743,1.5215,513039.41,513039.41,513039.41,513039.41,OK,OK,OK
256,1,2048,1.500,static,0.024958,0.001684,0.023727,0.000461,0.009918,0.002385,0.008637,0.000120,1.0518,2.5165,2.8895,4108000.86,4108000.86,4108000.86,4108000.86,OK,OK,OK
512,1,2048,6.000,dynamic,0.196638,0.018565,0.184777,0.002771,0.069118,0.002406,0.074013,0.008990,1.0642,2.8450,2.6568,32880683.38,32880683.38,32880683.38,32880683.38,OK,OK,OK
1024,1,2048,24.000,dynamic,2.117418,0.067711,2.122445,0.050991,0.685728,0.031538,0.667139,0.018025,0.9976,3.0878,3.1739,263085663.20,263085663.20,263085663.20,263085663.20,OK,OK,OK
128,2,2048,0.375,static,0.001774,0.000007,0.001111,0.000314,0.001132,0.000011,0.000609,0.000016,1.5961,1.5670,2.9124,513039.41,513039.41,513039.41,513039.41,OK,OK,OK
256,2,2048,1.500,static,0.023884,0.000680,0.014953,0.001122,0.008671,0.000192,0.004560,0.000053,1.5973,2.7545,5.2372,4108000.86,4108000.86,4108000.86,4108000.86,OK,OK,OK
512,2,2048,6.000,dynamic,0.185212,0.001645,0.097191,0.007514,0.067278,0.000490,0.034806,0.000575,1.9056,2.7529,5.3212,32880683.38,32880683.38,32880683.38,32880683.38,OK,OK,OK
1024,2,2048,24.000,dynamic,2.469913,0.249810,1.240350,0.095923,0.718117,0.070454,0.364341,0.044228,1.9913,3.4394,6.7791,263085663.20,263085663.20,263085663.20,263085663.20,OK,OK,OK
128,4,2048,0.375,static,0.001815,0.000027,0.000754,0.000330,0.001122,0.000017,0.000389,0.000050,2.4071,1.6174,4.6635,513039.41,513039.41,513039.41,513039.41,OK,OK,OK
256,4,2048,1.500,static,0.024506,0.001257,0.008396,0.000831,0.008682,0.000189,0.002379,0.000045,2.9186,2.8225,10.3026,4108000.86,4108000.86,4108000.86,4108000.86,OK,OK,OK
512,4,2048,6.000,dynamic,0.186234,0.003520,0.052993,0.002214,0.071922,0.005553,0.019163,0.001905,3.5143,2.5894,9.7184,32880683.38,32880683.38,32880683.38,32880683.38,OK,OK,OK
1024,4,2048,24.000,dynamic,2.511946,0.191074,0.843732,0.111461,0.732791,0.067215,0.192174,0.010533,2.9772,3.4279,13.0712,263085663.20,263085663.20,263085663.20,263085663.20,OK,OK,OK
128,8,2048,0.375,static,0.001776,0.000010,0.000600,0.000400,0.001119,0.000006,0.000341,0.000020,2.9610,1.5877,5.2140,513039.41,513039.41,513039.41,513039.41,OK,OK,OK
256,8,2048,1.500,static,0.024206,0.002155,0.005972,0.000169,0.009103,0.000117,0.002291,0.000023,4.0532,2.6590,10.5640,4108000.86,4108000.86,4108000.86,4108000.86,OK,OK,OK
512,8,2048,6.000,dynamic,0.182020,0.000445,0.037316,0.000255,0.068391,0.000872,0.012980,0.000311,4.8778,2.6614,14.0228,32880683.38,32880683.38,32880683.38,32880683.38,OK,OK,OK
1024,8,2048,24.000,dynamic,2.035237,0.069012,0.517058,0.048346,0.675161,0.042219,0.115870,0.004682,3.9362,3.0144,17.5648,263085663.20,263085663.20,263085663.20,263085663.20,OK,OK,OK
